"ghg","t","c","rf"
"HFC-23",1,0.0802828084945616,1.44509055290211e-05
"HFC-23",2,0.0799860147167739,1.43974826490193e-05
"HFC-23",3,0.0796903181420885,1.43442572655759e-05
"HFC-23",4,0.0793957147143061,1.42912286485751e-05
"HFC-23",5,0.079102200392223,1.42383960706001e-05
"HFC-23",6,0.0788097711495749,1.41857588069235e-05
"HFC-23",7,0.0785184229749822,1.41333161354968e-05
"HFC-23",8,0.0782281518718948,1.40810673369411e-05
"HFC-23",9,0.077938953858537,1.40290116945367e-05
"HFC-23",10,0.0776508249678535,1.39771484942136e-05
"HFC-23",11,0.0773637612474544,1.39254770245418e-05
"HFC-23",12,0.0770777587595613,1.3873996576721e-05
"HFC-23",13,0.076792813580953,1.38227064445715e-05
"HFC-23",14,0.0765089218029121,1.37716059245242e-05
"HFC-23",15,0.0762260795311711,1.37206943156108e-05
"HFC-23",16,0.0759442828858591,1.36699709194546e-05
"HFC-23",17,0.0756635280014482,1.36194350402607e-05
"HFC-23",18,0.0753838110267012,1.35690859848062e-05
"HFC-23",19,0.0751051281246181,1.35189230624313e-05
"HFC-23",20,0.0748274754723838,1.34689455850291e-05
"HFC-23",21,0.0745508492613156,1.34191528670368e-05
"HFC-23",22,0.074275245696811,1.3369544225426e-05
"HFC-23",23,0.0740006609982954,1.33201189796932e-05
"HFC-23",24,0.0737270913991706,1.32708764518507e-05
"HFC-23",25,0.0734545331467629,1.32218159664173e-05
"HFC-23",26,0.0731829825022718,1.31729368504089e-05
"HFC-23",27,0.0729124357407183,1.31242384333293e-05
"HFC-23",28,0.0726428891508945,1.3075720047161e-05
"HFC-23",29,0.072374339035312,1.30273810263562e-05
"HFC-23",30,0.0721067817101515,1.29792207078273e-05
"HFC-23",31,0.0718402135052124,1.29312384309382e-05
"HFC-23",32,0.0715746307638621,1.28834335374952e-05
"HFC-23",33,0.0713100298429862,1.28358053717375e-05
"HFC-23",34,0.0710464071129383,1.27883532803289e-05
"HFC-23",35,0.0707837589574902,1.27410766123482e-05
"HFC-23",36,0.0705220817737824,1.26939747192808e-05
"HFC-23",37,0.0702613719722748,1.26470469550095e-05
"HFC-23",38,0.0700016259766971,1.26002926758055e-05
"HFC-23",39,0.069742840224,1.255371124032e-05
"HFC-23",40,0.0694850111643063,1.25073020095751e-05
"HFC-23",41,0.0692281352608621,1.24610643469552e-05
"HFC-23",42,0.0689722089899886,1.24149976181979e-05
"HFC-23",43,0.0687172288410332,1.2369101191386e-05
"HFC-23",44,0.0684631913163219,1.23233744369379e-05
"HFC-23",45,0.068210092931111,1.22778167276e-05
"HFC-23",46,0.0679579302135394,1.22324274384371e-05
"HFC-23",47,0.0677066997045808,1.21872059468246e-05
"HFC-23",48,0.0674563979579968,1.21421516324394e-05
"HFC-23",49,0.0672070215402889,1.2097263877252e-05
"HFC-23",50,0.0669585670306519,1.20525420655173e-05
"HFC-23",51,0.0667110310209267,1.20079855837668e-05
"HFC-23",52,0.0664644101155538,1.19635938207997e-05
"HFC-23",53,0.0662187009315264,1.19193661676748e-05
"HFC-23",54,0.0659739000983444,1.1875302017702e-05
"HFC-23",55,0.0657300042579678,1.18314007664342e-05
"HFC-23",56,0.0654870100647709,1.17876618116588e-05
"HFC-23",57,0.0652449141854961,1.17440845533893e-05
"HFC-23",58,0.0650037132992085,1.17006683938575e-05
"HFC-23",59,0.0647634040972501,1.1657412737505e-05
"HFC-23",60,0.0645239832831949,1.16143169909751e-05
"HFC-23",61,0.0642854475728027,1.15713805631045e-05
"HFC-23",62,0.0640477936939752,1.15286028649155e-05
"HFC-23",63,0.0638110183867101,1.14859833096078e-05
"HFC-23",64,0.0635751184030573,1.14435213125503e-05
"HFC-23",65,0.0633400905070736,1.14012162912732e-05
"HFC-23",66,0.0631059314747786,1.13590676654601e-05
"HFC-23",67,0.0628726380941107,1.13170748569399e-05
"HFC-23",68,0.0626402071648827,1.12752372896789e-05
"HFC-23",69,0.0624086354987379,1.12335543897728e-05
"HFC-23",70,0.0621779199191067,1.11920255854392e-05
"HFC-23",71,0.0619480572611627,1.11506503070093e-05
"HFC-23",72,0.0617190443717793,1.11094279869203e-05
"HFC-23",73,0.0614908781094869,1.10683580597076e-05
"HFC-23",74,0.061263555344429,1.10274399619972e-05
"HFC-23",75,0.06103707295832,1.09866731324976e-05
"HFC-23",76,0.0608114278444022,1.09460570119924e-05
"HFC-23",77,0.0605866169074028,1.09055910433325e-05
"HFC-23",78,0.0603626370634921,1.08652746714286e-05
"HFC-23",79,0.0601394852402408,1.08251073432433e-05
"HFC-23",80,0.0599171583765778,1.0785088507784e-05
"HFC-23",81,0.0596956534227483,1.07452176160947e-05
"HFC-23",82,0.0594749673402722,1.0705494121249e-05
"HFC-23",83,0.0592550971019022,1.06659174783424e-05
"HFC-23",84,0.059036039691582,1.06264871444848e-05
"HFC-23",85,0.0588177921044055,1.0587202578793e-05
